ProgramCode,BadgeName,BadgeShortDescription,BadgeDescription,BadgeRankOrder,BadgeImageName
PP,PPNEWREV,New Reviewer,This badge is earned after 1 review.,1001,newrev.png
PP,PPNEWPHO,New Photographer,This badge is earned after 1 photo.,1002,newphoto.png
PP,PPLUXHOTEL,Luxury Hotel Expert,The Luxury Hotel Expert badge levels up after every three luxury hotel reviews.,1003,luxhotel.png
PP,PPATEXPERT,Attraction Expert,The Attraction Expert badge levels up after every three attraction reviews.,1004,attraction.png
PP,PPSRCONT,Senior Contributor,This badge is earned after 20 reviews.,1005,contributor.png
FR,FRNEWREV,New Reviewer,This badge is earned after 1 review.,1001,newrev.png
FR,FRNEWPHO,New Photographer,This badge is earned after 1 photo.,1002,newphoto.png
FR,FRLUXHOTEL,Luxury Hotel Expert,The Luxury Hotel Expert badge levels up after every three luxury hotel reviews.,1003,luxhotel.png
FR,FRATEXPERT,Attraction Expert,The Attraction Expert badge levels up after every three attraction reviews.,1004,attraction.png
FR,FRSRCONT,Senior Contributor,This badge is earned after 20 reviews.,1005,contributor.png